source bytecode,source opcode,source instruction count,stack depth,uninterpreted count,storage access count
600020549050,PUSH 0x00 SHA3 SLOAD SWAP1 POP,5,2,1,1
016000205490,ADD PUSH 0x00 SHA3 SLOAD SWAP1,5,3,1,1
80600360003373ffffffffffffffffffffffffffffffffffffffff,DUP1 PUSH 0x03 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,1,1,0
6000806003600033,PUSH 0x00 DUP1 PUSH 0x03 PUSH 0x00 CALLER,5,0,1,0
5550919050,SSTORE POP SWAP2 SWAP1 POP,5,6,0,1
9055509190,SWAP1 SSTORE POP SWAP2 SWAP1,5,6,0,1
8190555091,DUP2 SWAP1 SSTORE POP SWAP2,5,5,0,1
600981905550,PUSH 0x09 DUP2 SWAP1 SSTORE POP,5,1,0,1
816009819055,DUP2 PUSH 0x09 DUP2 SWAP1 SSTORE,5,2,0,1
60008160098190,PUSH 0x00 DUP2 PUSH 0x09 DUP2 SWAP1,5,1,0,0
60095481,PUSH 0x09 SLOAD DUP2,3,1,0,1
900460ff1681,SWAP1 DIV PUSH 0xff AND DUP2,5,3,0,0
60066000905490,PUSH 0x06 PUSH 0x00 SWAP1 SLOAD SWAP1,5,0,0,1
9392505050,SWAP4 SWAP3 POP POP POP,5,5,0,0
5093925050,POP SWAP4 SWAP3 POP POP,5,6,0,0
9050939250,SWAP1 POP SWAP4 SWAP3 POP,5,6,0,0
611025848484611f0e,PUSH 0x1025 DUP5 DUP5 DUP5 PUSH 0x1f0e,5,4,0,0
1015611019,LT ISZERO PUSH 0x1019,3,2,0,0
5461100e8360016000,SLOAD PUSH 0x100e DUP4 PUSH 0x01 PUSH 0x00,5,3,0,1
205461100e836001,SHA3 SLOAD PUSH 0x100e DUP4 PUSH 0x01,5,4,1,1
6000205461100e83,PUSH 0x00 SHA3 SLOAD PUSH 0x100e DUP4,5,3,1,1
54111515610f7c,SLOAD GT ISZERO ISZERO PUSH 0x0f7c,5,2,0,1
2054111515,SHA3 SLOAD GT ISZERO ISZERO,5,3,1,1
600020541115,PUSH 0x00 SHA3 SLOAD GT ISZERO,5,2,1,1
54600160008673ffffffffffffffffffffffffffffffffffffffff,SLOAD PUSH 0x01 PUSH 0x00 DUP7 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,5,0,1
20546001600086,SHA3 SLOAD PUSH 0x01 PUSH 0x00 DUP7,5,6,1,1
6000205460016000,PUSH 0x00 SHA3 SLOAD PUSH 0x01 PUSH 0x00,5,1,1,1
01600020546001,ADD PUSH 0x00 SHA3 SLOAD PUSH 0x01,5,2,1,1
600760008573ffffffffffffffffffffffffffffffffffffffff16,PUSH 0x07 PUSH 0x00 DUP6 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,4,0,0
20541015610ef0,SHA3 SLOAD LT ISZERO PUSH 0x0ef0,5,3,1,1
600020541015,PUSH 0x00 SHA3 SLOAD LT ISZERO,5,2,1,1
016000205410,ADD PUSH 0x00 SHA3 SLOAD LT,5,3,1,1
81600160008673ffffffffffffffffffffffffffffffffffffffff,DUP2 PUSH 0x01 PUSH 0x00 DUP7 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,4,0,0
